componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"CONTABILIDADE DE SERVIÇOS","CONTA0041","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 20:40h-22:20h SALA DE AULA - DID 1 - 011<br/>6 - 18:50h-20:30h SALA DE AULA - DID 1 - 104","2023","1","05/06/2023","21/10/2023","WALLACE SOUZA BARBOSA","4N34 6N12","37","55","37","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"LINGUAGEM DE INDEXAÇÃO I","CINFO0032","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 18:50h-22:20h SALA DE AULA - DID 5 - 015","2023","1","05/06/2023","21/10/2023","NILIANE CUNHA DE AGUIAR","5N1234","44","50","43","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA EM QUADRINHOS E FORMAÇÃO DO LEITOR","CINFO0020","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-22:20h SALA DE AULA - DID 6 - 012","2023","1","05/06/2023","21/10/2023","VALERIA APARECIDA BARI","2N1234","8","55","9","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"PROJETO DE PESQUISA EM ENGENHARIA DE PRODUÇÃO","EPROD0085","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 17:00h-18:50h SALA DE AULA - DID 5 - 016","2023","1","05/06/2023","21/10/2023","ISABELLY PEREIRA DA SILVA","3T56","15","25","12","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"PROJETO DE PESQUISA EM ENGENHARIA DE PRODUÇÃO","EPROD0085","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 17:00h-18:50h SALA DE AULA - DID 5 - 008","2023","1","05/06/2023","21/10/2023","ISABELLY PEREIRA DA SILVA","5T56","8","25","6","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"GESTÃO DE CUSTOS","EPROD0073","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 15:00h-16:50h SALA DE AULA - DID 1 - 102<br/>5 - 15:00h-16:50h SALA DE AULA - DID 4 - 012","2023","1","05/06/2023","21/10/2023","RICHARD ANDRES ESTOMBELO MONTESCO","35T34","31","50","31","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"LABORATÓRIO DE OTIMIZAÇÃO","EPROD0068","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","LOCAL A DEFINIR","2023","1","05/06/2023","14/10/2023","CELSO SATOSHI SAKURABA","6M56","5","25","0","REGULAR",,"CANCELADA","PRESENCIAL"
"LABORATÓRIO DE OTIMIZAÇÃO","EPROD0068","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 13:00h-14:50h DEPRO - LABORATÓRIO DE INFORMÁTICA - SALA 30","2023","1","05/06/2023","21/10/2023","CELSO SATOSHI SAKURABA","6T12","33","25","30","REGULAR","17/10/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM ENGENHARIA DE PRODUÇÃO","EPROD0103","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 13:00h-16:50h DEPRO - LABORATÓRIO DE ERGONOMIA/LABERGON - SALA 27","2023","1","05/06/2023","21/10/2023","ANA PAULA HENRIQUES GUSMAO DE ARAUJO LIMA","6T1234","17","25","20","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"LABORATÓRIO DE SIMULAÇÃO DE SISTEMAS PRODUTIVOS","EPROD0074","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 15:00h-16:50h DEPRO - LABORATÓRIO DE INFORMÁTICA - SALA 30","2023","1","05/06/2023","21/10/2023","REYNALDO CHILE PALOMINO","6T34","19","25","19","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"ALFABETIZACAO","EDU0088","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 18:50h-22:20h SALA DE AULA - DID 1 - 009<br/>6 - 20:40h-21:30h SALA DE AULA - DID 1 - 005","2023","1","05/06/2023","21/10/2023","SUZANA MARY DE ANDRADE NUNES","4N1234 6N3","45","30","33","REGULAR","17/10/2023","CONSOLIDADA","PRESENCIAL"
"EDUCACAO DE 0 A 3 ANOS","EDU0113","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-22:20h SALA DE AULA - DID 3 - 018","2023","1","05/06/2023","21/10/2023","TACYANA KARLA GOMES RAMOS","3N1234","32","50","32","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"COMPREENSÃO E EXPRESSÃO ORAL EM LÍNGUA INGLESA I","LETR0710","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-22:20h SALA DE AULA - DID 5 - 017","2023","1","05/06/2023","21/10/2023","MARIA AMÁLIA VARGAS FAÇANHA","2N1234","48","25","26","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"COMPREENSÃO E EXPRESSÃO ORAL EM LÍNGUA INGLESA I","LETR0710","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-22:20h SALA DE AULA - DID 5 - 016","2023","1","05/06/2023","21/10/2023","MANOELA BARBOSA PINTO","2N1234","25","25","26","REGULAR","16/10/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA INGLESA III","LETR0699","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 18:50h-22:20h SALA DE AULA - DID 5 - 109","2023","1","05/06/2023","21/10/2023","JULIANA PEREIRA SOUTO BARRETO","4N1234","23","25","25","REGULAR","12/10/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA INGLESA III","LETR0699","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 18:50h-22:20h SALA DE AULA - DID 5 - 105","2023","1","05/06/2023","21/10/2023","PAULO ROBERTO BOA SORTE SILVA","4N1234","40","25","27","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"LITERATURA DE LÍNGUA INGLESA II","LETR0727","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-20:30h SALA DE AULA - DID 1 - 108<br/>4 - 20:40h-22:20h SALA DE AULA - DID 1 - 107","2023","1","05/06/2023","21/10/2023","THAYSE MADELLA","2N12 4N34","36","50","36","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"HISTORIA SOCIAL DA CRIANCA","EDU0112","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 13:00h-16:50h SALA DE AULA - DID 5 - 008","2023","1","05/06/2023","21/10/2023","MARIA JOSÉ DANTAS","2T1234","36","30","35","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"LINGUISTICA APLICADA A ALFABETIZACAO","EDU0086","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 13:00h-16:50h SALA DE AULA - DID 3 - 010","2023","1","05/06/2023","21/10/2023","SUZANA MARY DE ANDRADE NUNES","2T1234","7","30","8","REGULAR","17/10/2023","CONSOLIDADA","PRESENCIAL"
"CULTURAS DE LÍNGUA INGLESA","LETR0725","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 20:40h-22:20h SALA DE AULA - DID 1 - 101<br/>4 - 18:50h-20:30h SALA DE AULA - DID 1 - 008","2023","1","05/06/2023","21/10/2023","VANDERLEI JOSE ZACCHI","2N34 4N12","39","50","39","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"PRINCÍPIOS DE EDUCAÇÃO À DISTÂNCIA","EDU0115","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 17:00h-18:50h SALA DE AULA - DID 1 - 008<br/>4 - 17:00h-18:50h SALA DE AULA DID 1 - 114","2023","1","05/06/2023","21/10/2023","ANNE ALILMA SILVA SOUZA FERRETE","24T56","38","50","40","REGULAR","10/10/2023","CONSOLIDADA","PRESENCIAL"
"FUNDAMENTOS DA EDUCAÇÃO INCLUSIVA","EDU0104","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 13:00h-16:50h SALA DE AULA - DID 6 - 110","2023","1","05/06/2023","21/10/2023","MARILENE SANTOS","5T1234","13","30","15","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA INGLESA V","LETR0702","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 18:50h-22:20h SALA DE AULA - DID 1 - 104","2023","1","05/06/2023","21/10/2023","PAULO ROBERTO BOA SORTE SILVA","5N1234","39","50","39","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA INGLESA I","LETR0735","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 18:50h-22:20h SALA DE AULA - DID 1 - 102","2023","1","05/06/2023","21/10/2023","FATIMA BEZERRA NEGROMONTE","6N1234","37","50","38","REGULAR","24/10/2023","CONSOLIDADA","PRESENCIAL"
"EXPRESSÃO ESCRITA EM LÍNGUA INGLESA II","LETR0709","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-20:30h SALA DE AULA - DID 1 - 106<br/>4 - 20:40h-22:20h SALA DE AULA - DID 1 - 109","2023","1","05/06/2023","21/10/2023","VANDERLEI JOSE ZACCHI","2N12 4N34","27","50","27","REGULAR","10/10/2023","CONSOLIDADA","PRESENCIAL"
"LITERATURA DE LÍNGUA INGLESA IV","LETR0729","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 20:40h-22:20h SALA DE AULA - DID 3 - 006<br/>4 - 18:50h-20:30h SALA DE AULA - DID 5 - 009","2023","1","05/06/2023","21/10/2023","THAYSE MADELLA","2N34 4N12","33","50","31","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"COMPREENSÃO E EXPRESSÃO ORAL EM LÍNGUA INGLESA III","LETR0712","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-22:20h SALA DE AULA - DID 5 - 113","2023","1","05/06/2023","21/10/2023","ELAINE MARIA SANTOS","3N1234","23","50","24","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA INGLESA III","LETR0737","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","5 - 18:50h-22:20h SALA DE AULA - DID 1 - 105<br/>7 - 09:00h-12:50h Local a definir","2023","1","05/06/2023","21/10/2023","MARLENE DE ALMEIDA AUGUSTO DE SOUZA","7M3456  5N1234","28","50","30","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"LÍNGUA INGLESA VII","LETR0704","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 18:50h-22:20h SALA DE AULA - DID 5 - 014","2023","1","05/06/2023","21/10/2023","JULIANA PEREIRA SOUTO BARRETO","6N1234","31","50","31","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"ANÁLISE CRÍTICA DE TEXTOS EM LÍNGUA INGLESA","LETR0716","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-22:20h SALA DE AULA - DID 4 - 012","2023","1","05/06/2023","21/10/2023","ANA KARINA DE OLIVEIRA NASCIMENTO","2N1234","31","50","31","REGULAR","06/10/2023","CONSOLIDADA","PRESENCIAL"
"LITERATURA DE LÍNGUA INGLESA VI","LETR0731","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-22:20h SALA DE AULA - DID 1 - 001","2023","1","05/06/2023","21/10/2023","THAYSE MADELLA","3N1234","40","50","39","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"INGLÊS INSTRUMENTAL","LETR0429","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 09:00h-12:50h SALA DE AULA - DID 4 - 112","2023","1","05/06/2023","21/10/2023","CAMILA ANDRADE CHAGAS VIEIRA, LAUDO NATEL DO NASCIMENTO","4M3456","127","53","53","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"INGLÊS INSTRUMENTAL","LETR0429","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 09:00h-12:50h SALA DE AULA - DID 4 - 112","2023","1","05/06/2023","21/10/2023","CAMILA ANDRADE CHAGAS VIEIRA, LAUDO NATEL DO NASCIMENTO","6M3456","167","56","56","REGULAR","20/10/2023","CONSOLIDADA","PRESENCIAL"
"ANÁLISE DO DISCURSO I","LETRV0075","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 18:50h-22:20h SALA DE AULA  - DID 5 - 001","2023","1","05/06/2023","21/10/2023","MARIA EMILIA DE RODAT DE AGUIAR BARRETO BARROS","2N1234","84","50","50","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA I","LETRV0088","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 18:50h-22:20h SALA DE AULA - DID 5 - 018","2023","1","05/06/2023","21/10/2023","LAURA CAMILA BRAZ DE ALMEIDA","4N1234","56","25","27","REGULAR","16/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA II","LETRV0091","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 09:00h-12:50h SALA DE AULA - DID 3 - 014<br/>6 - 07:00h-10:50h SALA DE AULA - DID 4 - 107","2023","1","05/06/2023","21/10/2023","TAYSA MERCIA DOS SANTOS SOUZA DAMACENO","4M3456 6M1234","20","25","21","REGULAR","16/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO DE LÍNGUA PORTUGUESA III","LETRV0083","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-22:20h SALA DE AULA - DID 5 - 012<br/>7 - 07:00h-10:50h Local a definir","2023","1","05/06/2023","21/10/2023","LAURA CAMILA BRAZ DE ALMEIDA","7M1234  3N1234","44","50","43","REGULAR","16/10/2023","CONSOLIDADA","PRESENCIAL"
"ESTÁGIO SUPERVISIONADO GERAL","LETRV0082","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","6 - 07:00h-10:50h SALA DE AULA - DID 4 - 008","2023","1","05/06/2023","21/10/2023","VICTOR RENÊ ANDRADE SOUZA","6M1234","48","50","47","REGULAR","22/10/2023","CONSOLIDADA","PRESENCIAL"
"FILOLOGIA ROMÂNICA","LETRV0066","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 18:50h-22:20h Auditório 205 - DID VII","2023","1","05/06/2023","21/10/2023","RENATA FERREIRA COSTA BONIFÁCIO","3N1234","61","55","55","REGULAR","19/10/2023","CONSOLIDADA","PRESENCIAL"
"FONOLOGIA DA LÍNGUA PORTUGUESA","LETRV0057","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 07:00h-08:50h SALA DE AULA - DID 3 - 002<br/>6 - 09:00h-10:50h SALA DE AULA - DID 3 - 002","2023","1","05/06/2023","21/10/2023","DENISE PORTO CARDOSO","4M12 6M34","34","64","64","REGULAR","10/10/2023","CONSOLIDADA","PRESENCIAL"
"FONOLOGIA DA LÍNGUA PORTUGUESA","LETRV0057","TURMA 02","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","4 - 18:50h-22:20h SALA DE AULA - DID 6 - 104","2023","1","05/06/2023","21/10/2023","SANDRO MARCIO DRUMOND ALVES MARENGO, ANTÔNIO FÉLIX DE SOUZA NETO","4N1234","55","61","70","REGULAR","23/10/2023","CONSOLIDADA","PRESENCIAL"
"FUNDAMENTOS DA LÍNGUA LATINA","LETRV0061","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 07:00h-08:50h SALA DE AULA - DID 3 - 115<br/>5 - 07:00h-08:50h SALA DE AULA - DID 3 - 115","2023","1","05/06/2023","21/10/2023","ROBSON SANTOS SILVA","35M12","22","58","58","REGULAR","15/10/2023","CONSOLIDADA","PRESENCIAL"
"FUNDAMENTOS DA LÍNGUA LATINA","LETRV0061","TURMA 03","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","3 - 13:00h-14:50h SALA DE AULA - DID 4 - 002<br/>5 - 15:00h-16:50h SALA DE AULA - DID 4 - 003","2023","1","05/06/2023","21/10/2023","JOSE RAIMUNDO GALVAO","3T12 5T34","32","56","57","REGULAR","26/10/2023","CONSOLIDADA","PRESENCIAL"
"FUNDAMENTOS DE LITERATURA PORTUGUESA","LETRV0106","TURMA 01","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","2 - 11:00h-12:50h SALA DE AULA  - DID 5 - 001<br/>5 - 11:00h-12:50h SALA DE AULA  - DID 5 - 001","2023","1","05/06/2023","21/10/2023","MAGNA MARIA DE OLIVEIRA RAMOS","25M56","43","50","43","REGULAR","16/10/2023","CONSOLIDADA","PRESENCIAL"
